,name,location,at_student_home,at_online,at_teacher_home,rate,review,price,languages,picture,seniority,trusted_teacher,Bachelor's degree,Master's degree,Other studies,PhD,Student,Teach Arabic,Teach Business,Teach Computers,Teach English,Teach French,Teach Humanities,Teach Language Skills,Teach Math,Teach Music,Teach Other Languages,Teach Sciences,Teach Spanish,Teach Sports,Teach Telecommunications,Tech Arts,region,0-3,13-17,18-64,4-6,65+,7-12,Advanced,Beginner,Intermediate,region_code,location_code
0,Amin,Morocco,1.0,1,0.0,4.95,34,62.45,3.0,0,2,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
1,Marina,Netherlands,1.0,1,0.0,4.85,44,111.89,5.0,0,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
2,Sebastian,Germany,0.0,1,1.0,5.0,28,223.78,5.0,1,5,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,2
3,Haidar,Lebanon,0.0,1,0.0,0.0,0,86.15,2.0,0,1,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,West Asia,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,3
4,Rayen & Ranim,Ivory Coast,0.0,1,0.0,5.0,27,54.02,3.0,0,3,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,West Africa,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,4
5,Johané,South Africa,0.0,1,0.0,5.0,17,40.51,2.0,0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,East Africa,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5
6,Espace-Formation...,Switzerland,0.0,1,1.0,4.9,14,353.58,2.0,0,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,6
7,Justin,Belgium,0.0,1,1.0,5.0,49,131.18,1.0,0,6,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,7
8,Lisa,Belgium,1.0,1,0.0,0.0,0,177.48,2.0,0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7
9,Berk,Netherlands,1.0,1,1.0,0.0,0,138.9,2.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1
10,Nopphanaree,Thailand,0.0,1,0.0,0.0,0,60.78,2.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,East Asia,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4,8
11,Rosie,Brazil,0.0,1,1.0,0.0,0,69.15,3.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,9
12,Maria,ON,0.0,1,0.0,0.0,0,54.02,2.0,0,0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Unknown,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,10
13,Salma,Morocco,0.0,1,0.0,0.0,0,114.26,3.0,0,0,0.0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
14,Juan,Colombia,0.0,1,0.0,0.0,0,192.92,2.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Americas,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5,11
15,John,Nigeria,0.0,1,0.0,0.0,0,64.61,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,12
16,Andrea,Spain,1.0,1,0.0,0.0,0,61.73,2.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,13
17,Alésia,France,0.0,1,0.0,0.0,0,50.16,3.0,0,0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,14
18,Elizabeth,United Kingdom,0.0,1,0.0,0.0,0,112.75,1.0,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Central Europe,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7,15
19,Luis Urbina,Colombia,0.0,1,0.0,0.0,0,54.02,2.0,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5,11
20,Ibrahim,United Kingdom,0.0,1,0.0,0.0,0,157.86,1.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Central Europe,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,15
21,Hanzala Iqbal,Norway,1.0,1,1.0,0.0,0,70.41,1.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7,16
22,Sikander,United Kingdom,0.0,1,0.0,0.0,0,130.79,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Central Europe,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7,15
23,Adam,United Arab Emirates,0.0,1,0.0,0.0,0,122.04,2.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,West Asia,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,17
24,Chema,Spain,0.0,1,0.0,0.0,0,73.31,2.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,13
50,Ahmed,Egypt,1.0,1,0.0,0.0,0,9.64,2.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,West Africa,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,18
51,Theint Thet Htar,Turkey,0.0,1,0.0,0.0,0,71.79,3.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,West Asia,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,19
52,Atirut,Thailand,0.0,1,0.0,0.0,0,72.94,2.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Asia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,8
53,Marwa,Morocco,0.0,1,1.0,4.75,4,135.91,3.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,West Africa,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
54,Faten,Morocco,1.0,1,0.0,4.9,8,66.36,3.0,0,1,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
55,Shan,Netherlands,1.0,1,0.0,4.95,16,165.91,4.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
56,Lucile,Switzerland,0.0,1,1.0,5.0,3,198.64,3.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,6
57,Awni,France,1.0,1,1.0,4.95,16,68.2,4.0,0,3,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
58,Marisela,Spain,0.0,1,0.0,5.0,4,73.31,2.0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,13
59,Ana Maria,Belgium,1.0,1,1.0,5.0,11,131.18,3.0,0,4,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7
60,Asha,United Kingdom,0.0,1,0.0,5.0,1,180.41,2.0,0,2,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Central Europe,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,15
61,Aya,Belgium,1.0,1,0.0,4.5,2,96.46,3.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7
62,Mavi Merve,Turkey,0.0,1,1.0,5.0,4,111.89,2.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Asia,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2,19
63,Zintle,South Africa,0.0,1,0.0,0.0,0,50.16,2.0,0,1,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,East Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,5
64,Bastien,Switzerland,1.0,1,0.0,0.0,0,230.43,3.0,0,4,1.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,6
65,Brahim,Morocco,1.0,1,1.0,5.0,1,97.94,3.0,0,0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
66,Andres,Colombia,0.0,1,0.0,0.0,0,31.75,2.0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,11
67,Anh Q.,United Kingdom,1.0,1,0.0,4.8,9,439.85,1.0,0,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,15
68,Katerina,Netherlands,0.0,1,0.0,4.75,4,146.62,3.0,0,1,1.0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
69,Amira,Japan,0.0,1,1.0,5.0,1,125.63,2.0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,East Asia,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,20
70,Majda,Morocco,0.0,1,0.0,5.0,9,71.79,4.0,0,5,1.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
71,Germán López,Belgium,1.0,1,0.0,5.0,2,96.46,2.0,0,0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7
72,Camille,Switzerland,0.0,1,1.0,4.0,1,353.58,2.0,0,4,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
73,Dr. Hisham,Egypt,0.0,1,0.0,5.0,1,57.43,2.0,0,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,18
74,Catharina,United Kingdom,0.0,1,0.0,5.0,4,144.33,6.0,0,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7,15
75,Fermin,Austria,1.0,1,1.0,5.0,1,169.77,4.0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,21
76,Heejin,Netherlands,0.0,1,1.0,5.0,2,127.32,3.0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1
77,Fabrice,Switzerland,1.0,1,0.0,5.0,1,286.05,2.0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
78,Soufiane,Morocco,0.0,1,0.0,5.0,1,53.84,2.0,0,1,1.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
79,Mohamed,Morocco,1.0,1,0.0,5.0,2,35.13,3.0,0,5,1.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
80,Georgia,Italy,0.0,1,0.0,5.0,13,99.32,3.0,0,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,22
81,Ayoub,France,1.0,1,1.0,5.0,6,96.46,3.0,0,1,1.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
82,Victor,Sweden,1.0,1,0.0,5.0,2,90.84,2.0,0,2,1.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Central Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,23
83,Formation,Switzerland,0.0,1,1.0,5.0,5,353.58,2.0,0,4,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
84,Gayatri,Sweden,0.0,1,0.0,5.0,1,28.18,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Central Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,23
85,Victor,Luxembourg,1.0,1,1.0,5.0,1,104.17,3.0,0,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,24
86,Oussama,Tunisia,1.0,1,1.0,4.7,3,69.45,3.0,0,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,25
87,Marc,Switzerland,1.0,1,0.0,0.0,0,274.13,3.0,0,3,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
88,Abir,Tunisia,0.0,1,0.0,5.0,1,57.75,3.0,0,0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,25
89,Dr Pooja,India,0.0,1,0.0,5.0,2,76.34,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,South Asia,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8,26
90,Tracy,France,1.0,1,1.0,5.0,4,108.03,2.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,14
91,John,Luxembourg,0.0,1,1.0,5.0,2,300.95,2.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,24
92,Vlad,United Kingdom,0.0,1,0.0,5.0,1,207.47,3.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,15
93,Emily,Italy,0.0,1,0.0,5.0,1,115.75,3.0,0,0,1.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,22
94,Konstantinos,FL,1.0,1,1.0,5.0,1,208.19,3.0,0,4,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Unknown,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,27
95,Kassem,Morocco,1.0,1,1.0,5.0,2,39.74,3.0,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
96,Grace,Cameroon,0.0,1,0.0,0.0,0,37.59,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,East Africa,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,28
97,Jessie,United Kingdom,0.0,1,1.0,0.0,0,198.45,1.0,0,0,1.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7,15
98,Ariane,France,0.0,1,0.0,5.0,1,111.89,2.0,0,0,1.0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,14
99,Mishika,India,0.0,1,0.0,5.0,1,42.76,2.0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,South Asia,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8,26
100,Alex,Venezuela,1.0,1,1.0,0.0,0,53.84,2.0,0,0,1.0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Americas,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,29
101,Alicia,France,0.0,1,0.0,0.0,0,96.46,3.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
102,Marga,Spain,0.0,1,0.0,0.0,0,73.31,3.0,0,0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,West Europe,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,13
103,Sohila,Egypt,0.0,1,0.0,0.0,0,34.03,2.0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,18
104,Nina,Belgium,0.0,1,1.0,0.0,0,231.5,2.0,0,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,7
105,Kevin,Mexico,0.0,1,0.0,0.0,0,108.03,2.0,0,0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,30
106,Viviana,Argentina,0.0,1,0.0,0.0,0,86.15,2.0,0,0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,31
107,مرح,United Arab Emirates,1.0,1,1.0,0.0,0,146.59,2.0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,West Asia,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,17
108,Samin,Iran,0.0,1,0.0,0.0,0,92.6,2.0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,South Asia,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,32
109,Ohrel,Canada,0.0,1,0.0,0.0,0,56.38,3.0,0,0,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,33
110,Cherrie,Philippines,0.0,1,0.0,0.0,0,50.5,1.0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,East Asia,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4,34
111,Mohamed,Switzerland,0.0,1,1.0,0.0,0,198.64,4.0,0,0,1.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
112,Aviv,Netherlands,1.0,1,1.0,0.0,0,177.48,3.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1
113,Mohamed,Egypt,1.0,1,1.0,0.0,0,14.29,2.0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,18
114,Miguel Angel,Argentina,0.0,1,0.0,0.0,0,46.66,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Americas,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5,31
115,Mateo,Switzerland,1.0,1,0.0,0.0,0,297.96,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,6
116,Angel,India,0.0,1,0.0,0.0,0,80.35,2.0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,South Asia,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,8,26
117,Julien,Switzerland,1.0,1,0.0,0.0,0,222.48,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
118,Florian,France,0.0,1,0.0,0.0,0,532.45,2.0,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,West Europe,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,14
119,Ankita,Belgium,0.0,1,0.0,0.0,0,100.32,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,West Europe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,7
120,Rinaldo,United Kingdom,1.0,1,0.0,0.0,0,130.79,4.0,0,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7,15
